iter	Passed	Remaining
595	14634	9919
596	14657	9894
597	14677	9866
598	14697	9839
599	14721	9814
600	14746	9790
601	14769	9764
602	14800	9744
603	14823	9718
604	14855	9698
605	14884	9677
606	14910	9653
607	14934	9628
608	14957	9603
609	14981	9578
610	15004	9552
611	15032	9530
612	15060	9508
613	15087	9484
614	15116	9462
615	15145	9441
616	15211	9442
617	15249	9425
618	15282	9406
619	15321	9390
620	15349	9367
621	15374	9343
622	15397	9317
623	15424	9294
624	15470	9282
625	15499	9260
626	15526	9236
627	15547	9209
628	15571	9184
629	15594	9158
630	15617	9132
631	15641	9107
632	15668	9084
633	15693	9059
634	15717	9034
635	15746	9012
636	15775	8989
637	15804	8967
638	15836	8946
639	15862	8922
640	15889	8898
641	15909	8871
642	15938	8849
643	15963	8824
644	15988	8799
645	16018	8777
646	16045	8754
647	16068	8728
648	16095	8704
649	16118	8679
650	16141	8653
651	16167	8629
652	16188	8602
653	16211	8576
654	16235	8551
655	16264	8529
656	16296	8507
657	16317	8481
658	16339	8454
659	16364	8430
660	16389	8405
661	16418	8382
662	16447	8360
663	16473	8335
664	16498	8311
665	16529	8289
666	16552	8263
667	16579	8240
668	16607	8217
669	16633	8192
670	16668	8172
671	16697	8149
672	16725	8126
673	16746	8099
674	16774	8076
675	16797	8050
676	16818	8024
677	16845	8000
678	16866	7973
679	16895	7950
680	16924	7927
681	16938	7897
682	16958	7870
683	16981	7845
684	17004	7819
685	17026	7793
686	17046	7766
687	17073	7742
688	17099	7718
689	17120	7691
690	17135	7662
691	17158	7636
692	17183	7612
693	17211	7588
694	17233	7562
695	17258	7538
696	17282	7513
697	17307	7488
698	17329	7462
699	17352	7436
700	17372	7409
701	17387	7381
702	17414	7357
703	17441	7333
704	17460	7305
705	17483	7280
706	17505	7254
707	17532	7230
708	17552	7204
709	17574	7178
710	17599	7153
711	17624	7128
712	17645	7102
713	17668	7077
714	17692	7052
715	17715	7026
716	17738	7001
717	17760	6975
718	17781	6949
719	17807	6925
720	17834	6901
721	17858	6876
722	17880	6850
723	17905	6825
724	17929	6800
725	17955	6776
726	17980	6751
727	18008	6728
728	18029	6702
729	18057	6678
730	18077	6652
731	18102	6627
732	18126	6602
733	18151	6577
734	18178	6554
735	18199	6528
736	18221	6502
737	18243	6476
738	18272	6453
739	18302	6430
740	18329	6406
741	18352	6381
742	18379	6357
743	18403	6332
744	18439	6311
745	18498	6298
746	18539	6279
747	18571	6256
748	18632	6244
749	18666	6222
750	18694	6198
751	18754	6184
752	18774	6158
753	18804	6135
754	18841	6113
755	18901	6100
756	18936	6078
757	18955	6051
758	18999	6032
759	19047	6015
760	19072	5989
761	19095	5964
762	19121	5939
763	19148	5914
764	19166	5887
765	19190	5862
766	19216	5837
767	19239	5812
768	19261	5786
769	19285	5760
770	19308	5734
771	19338	5711
772	19360	5685
773	19403	5665
774	19447	5645
775	19469	5620
776	19493	5594
777	19525	5571
778	19547	5545
779	19566	5518
780	19586	5492
781	19613	5467
782	19636	5442
783	19659	5416
784	19677	5389
785	19698	5363
786	19728	5339
787	19743	5311
788	19762	5285
789	19785	5259
790	19803	5232
791	19832	5208
792	19853	5182
793	19878	5157
794	19904	5132
795	19929	5107
796	19949	5081
797	19979	5057
798	20003	5032
799	20028	5007
800	20056	4982
801	20077	4956
802	20098	4930
803	20125	4906
804	20143	4879
805	20168	4854
806	20195	4829
807	20219	4804
808	20244	4779
809	20266	4753
810	20295	4729
811	20318	4704
812	20338	4678
813	20361	4652
814	20385	4627
815	20409	4602
816	20439	4578
817	20462	4552
818	20487	4527
819	20507	4501
820	20527	4475
821	20548	4449
822	20571	4424
823	20599	4399
824	20624	4374
825	20649	4349
826	20675	4325
827	20701	4300
828	20724	4274
829	20747	4249
830	20773	4224
831	20795	4199
832	20818	4173
833	20838	4147
834	20863	4122
835	20884	4096
836	20906	4071
837	20932	4046
838	20954	4021
839	20974	3995
840	21001	3970
841	21023	3945
842	21042	3918
843	21063	3893
844	21088	3868
845	21114	3843
846	21136	3818
847	21155	3792
848	21177	3766
849	21200	3741
850	21230	3717
851	21249	3691
852	21273	3666
853	21291	3639
854	21315	3614
855	21337	3589
856	21362	3564
857	21385	3539
858	21416	3515
859	21439	3490
860	21457	3464
861	21480	3438
862	21503	3413
863	21535	3389
864	21554	3363
865	21578	3338
866	21604	3314
867	21628	3289
868	21650	3263
869	21680	3239
870	21727	3217
871	21744	3191
872	21764	3166
873	21792	3141
874	21816	3116
875	21840	3091
876	21864	3066
877	21885	3041
878	21909	3015
879	21932	2990
880	21953	2965
881	21975	2940
882	21998	2914
883	22020	2889
884	22040	2864
885	22066	2839
886	22089	2814
887	22112	2789
888	22134	2763
889	22153	2738
890	22177	2713
891	22204	2688
892	22222	2662
893	22245	2637
894	22270	2612
895	22293	2587
896	22314	2562
897	22338	2537
898	22367	2512
899	22392	2488
900	22414	2462
901	22439	2438
902	22462	2412
903	22486	2387
904	22507	2362
905	22527	2337
906	22550	2312
907	22577	2287
908	22602	2262
909	22624	2237
910	22649	2212
911	22669	2187
912	22687	2161
913	22710	2136
914	22730	2111
915	22757	2086
916	22784	2062
917	22798	2036
918	22820	2011
919	22842	1986
920	22865	1961
921	22887	1936
922	22915	1911
923	22940	1886
924	22965	1862
925	22990	1837
926	23014	1812
927	23038	1787
928	23054	1761
929	23074	1736
930	23097	1711
931	23118	1686
932	23139	1661
933	23159	1636
934	23181	1611
935	23206	1586
936	23227	1561
937	23253	1537
938	23278	1512
939	23304	1487
940	23326	1462
941	23344	1437
942	23371	1412
943	23394	1387
944	23416	1362
945	23430	1337
946	23449	1312
947	23470	1287
948	23489	1262
949	23517	1237
950	23542	1213
951	23566	1188
952	23588	1163
953	23617	1138
954	23640	1113
955	23662	1089
956	23683	1064
957	23700	1039
958	23721	1014
959	23740	989
960	23766	964
961	23788	939
962	23816	915
963	23843	890
964	23868	865
965	23894	840
966	23939	816
967	23965	792
968	23988	767
969	24005	742
970	24028	717
971	24050	692
972	24071	667
973	24088	643
974	24106	618
975	24130	593
976	24154	568
977	24175	543
978	24193	518
979	24217	494
980	24230	469
981	24253	444
982	24273	419
983	24295	395
984	24318	370
985	24341	345
986	24359	320
987	24380	296
988	24399	271
989	24420	246
990	24443	221
991	24466	197
992	24487	172
993	24506	147
994	24525	123
995	24546	98
996	24565	73
997	24589	49
998	24608	24
999	24631	0
