iter	Passed	Remaining
681	19990	38632
682	20016	38597
683	20046	38569
684	20073	38534
685	20099	38499
686	20134	38481
687	20164	38453
688	20187	38411
689	20218	38385
690	20252	38364
691	20277	38328
692	20308	38301
693	20335	38267
694	20366	38241
695	20399	38220
696	20428	38188
697	20459	38164
698	20483	38124
699	20514	38098
700	20542	38067
701	20574	38042
702	20599	38004
703	20633	37983
704	20663	37956
705	20691	37923
706	20718	37891
707	20747	37861
708	20786	37849
709	20819	37826
710	20852	37803
711	20878	37769
712	20910	37743
713	20941	37718
714	20970	37689
715	21004	37667
716	21032	37635
717	21059	37601
718	21080	37558
719	21113	37534
720	21140	37500
721	21168	37470
722	21198	37441
723	21231	37419
724	21262	37392
725	21294	37367
726	21324	37339
727	21350	37304
728	21377	37270
729	21409	37246
730	21444	37226
731	21477	37203
732	21503	37168
733	21530	37135
734	21555	37098
735	21585	37071
736	21612	37038
737	21647	37016
738	21675	36985
739	21704	36956
740	21740	36937
741	21773	36915
742	21804	36889
743	21837	36865
744	21873	36847
745	21903	36818
746	21937	36797
747	21964	36763
748	21995	36737
749	22027	36711
750	22053	36677
751	22083	36649
752	22114	36621
753	22140	36588
754	22162	36546
755	22188	36511
756	22220	36486
757	22247	36453
758	22276	36422
759	22304	36390
760	22339	36370
761	22367	36340
762	22403	36321
763	22441	36305
764	22473	36280
765	22506	36256
766	22533	36223
767	22562	36193
768	22592	36165
769	22619	36132
770	22653	36111
771	22679	36076
772	22706	36042
773	22733	36009
774	22760	35975
775	22786	35941
776	22812	35906
777	22836	35869
778	22860	35831
779	22888	35800
780	22918	35772
781	22946	35740
782	22972	35704
783	22997	35669
784	23025	35638
785	23052	35605
786	23082	35577
787	23102	35533
788	23130	35502
789	23163	35478
790	23189	35443
791	23216	35410
792	23239	35371
793	23270	35345
794	23296	35311
795	23328	35285
796	23362	35263
797	23388	35228
798	23417	35199
799	23451	35177
800	23476	35142
801	23505	35112
802	23537	35085
803	23557	35043
804	23589	35017
805	23615	34983
806	23668	34989
807	23692	34952
808	23717	34917
809	23740	34878
810	23766	34844
811	23796	34815
812	23820	34778
813	23853	34753
814	23880	34722
815	23901	34680
816	23930	34650
817	23960	34623
818	23985	34587
819	24012	34554
820	24043	34528
821	24068	34492
822	24098	34463
823	24133	34442
824	24163	34414
825	24200	34396
826	24235	34375
827	24266	34347
828	24295	34318
829	24329	34296
830	24363	34272
831	24398	34251
832	24434	34231
833	24464	34203
834	24495	34176
835	24522	34143
836	24550	34112
837	24573	34074
838	24602	34044
839	24633	34017
840	24664	33991
841	24696	33965
842	24725	33935
843	24746	33894
844	24769	33856
845	24791	33817
846	24822	33790
847	24852	33761
848	24887	33740
849	24926	33724
850	24957	33696
851	24988	33670
852	25016	33639
853	25045	33608
854	25067	33570
855	25091	33533
856	25126	33512
857	25159	33487
858	25182	33449
859	25217	33427
860	25246	33397
861	25274	33366
862	25302	33336
863	25326	33299
864	25356	33270
865	25383	33238
866	25414	33211
867	25439	33177
868	25468	33147
869	25495	33114
870	25525	33085
871	25551	33052
872	25580	33023
873	25609	32993
874	25635	32960
875	25665	32930
876	25692	32899
877	25721	32869
878	25744	32832
879	25781	32812
880	25821	32797
881	25852	32769
882	25881	32740
883	25916	32717
884	25950	32694
885	25978	32663
886	26003	32629
887	26034	32601
888	26062	32570
889	26090	32539
890	26117	32507
891	26139	32469
892	26166	32436
893	26186	32396
894	26213	32363
895	26232	32322
896	26261	32292
897	26288	32260
898	26310	32222
899	26336	32188
900	26363	32156
901	26398	32134
902	26424	32100
903	26455	32074
904	26481	32041
905	26516	32018
906	26540	31983
907	26567	31951
908	26598	31924
909	26625	31892
910	26650	31858
911	26678	31827
912	26703	31793
913	26734	31765
914	26757	31728
915	26786	31699
916	26808	31661
917	26830	31624
918	26850	31584
919	26880	31555
920	26916	31533
921	26943	31502
922	26976	31476
923	27003	31445
924	27028	31411
